"id","host_is_superhost","neighbourhood_cleansed","zipcode","property_type","accommodates","bathrooms","bedrooms","price","review_scores_rating","availability_365"
"41840209","f","Waterfront Communities-The Island","M5H 4E6","Apartment","2.0","1.0","1.0","158.0","null","33.0"
"41956547","f","Waterfront Communities-The Island","M5H 4E6","Apartment","2.0","1.0","1.0","125.0","null","14.0"
"41961466","f","Bay Street Corridor","M5H 0B1","Apartment","2.0","1.0","0.0","125.0","null","88.0"
"42034323","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","81.0","null","276.0"
"42107067","f","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","251.0","null","241.0"
"42137319","t","Waterfront Communities-The Island","M5H 4E9","Condominium","5.0","1.0","2.0","200.0","null","151.0"
"42279362","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","129.0","null","74.0"
"307726","t","Waterfront Communities-The Island","M5J 0A1","Condominium","2.0","1.0","0.0","110.0","99.0","197.0"
"382186","f","Waterfront Communities-The Island","M5J 0A1","Apartment","3.0","1.0","1.0","190.0","95.0","89.0"
"533659","f","Waterfront Communities-The Island","M5J 2Y5","Condominium","5.0","1.0","1.0","220.0","97.0","241.0"
"925491","t","Waterfront Communities-The Island","M5J 0A1","Condominium","4.0","1.0","1.0","99.0","96.0","229.0"
"934523","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","130.0","96.0","230.0"
"1655742","f","Waterfront Communities-The Island","M5J 0A6","Apartment","2.0","1.0","1.0","148.0","93.0","68.0"
"2296506","t","Waterfront Communities-The Island","M5J 2Y5","Apartment","2.0","1.0","1.0","119.0","95.0","157.0"
"2455129","f","Waterfront Communities-The Island","M5J 2Y5","Apartment","4.0","1.0","1.0","186.0","94.0","125.0"
"3584944","f","Waterfront Communities-The Island","M5J 2Y5","Condominium","2.0","1.0","1.0","155.0","91.0","37.0"
"4490925","t","Waterfront Communities-The Island","M5J 3A3","Apartment","5.0","1.0","2.0","300.0","97.0","232.0"
"4661866","f","Waterfront Communities-The Island","M5J","Apartment","2.0","1.0","1.0","195.0","100.0","214.0"
"4663579","f","Waterfront Communities-The Island","M5J","Apartment","4.0","2.0","2.0","274.0","93.0","213.0"
"4757621","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","125.0","100.0","223.0"
"4785648","f","Waterfront Communities-The Island","M5J 2Y7","Condominium","2.0","1.0","1.0","135.0","90.0","201.0"
"5152800","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","115.0","100.0","224.0"
"5268254","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","125.0","100.0","193.0"
"5372881","f","Waterfront Communities-The Island","M5J 2Y5","Apartment","2.0","1.0","1.0","85.0","null","198.0"
"5904291","t","Waterfront Communities-The Island","M5J 0A7","Condominium","4.0","2.0","2.0","164.0","97.0","230.0"
"5958371","f","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","121.0","95.0","201.0"
"6044426","t","Waterfront Communities-The Island","M5J 1A1","Apartment","2.0","1.0","1.0","121.0","97.0","104.0"
"6045154","f","Waterfront Communities-The Island","M5J 0A7","Apartment","3.0","1.0","0.0","125.0","92.0","74.0"
"6097682","f","Waterfront Communities-The Island","M5J 2N3","Condominium","2.0","1.0","1.0","180.0","92.0","180.0"
"6178895","t","Waterfront Communities-The Island","M5J 0A6","Condominium","2.0","1.0","1.0","199.0","98.0","155.0"
"6371715","t","Waterfront Communities-The Island","M5J 2Y5","Condominium","2.0","1.0","1.0","229.0","94.0","244.0"
"6459022","f","Waterfront Communities-The Island","M5J 2Y5","Apartment","2.0","1.0","1.0","139.0","91.0","43.0"
"6743356","f","Waterfront Communities-The Island","M5J0A9 ","Condominium","6.0","2.0","2.0","198.0","94.0","147.0"
"6885585","t","Waterfront Communities-The Island","M5J","Apartment","2.0","1.5","1.0","171.0","95.0","64.0"
"7044846","f","Waterfront Communities-The Island","M5J","Condominium","5.0","1.5","2.0","150.0","94.0","231.0"
"7111369","f","Waterfront Communities-The Island","M5J 3A3","Apartment","2.0","1.0","1.0","144.0","96.0","199.0"
"7320981","t","Waterfront Communities-The Island","M5J 3A4","Apartment","5.0","1.0","2.0","225.0","98.0","29.0"
"7518194","t","Waterfront Communities-The Island","M5J","Condominium","6.0","2.0","2.0","251.0","97.0","126.0"
"7658019","t","Waterfront Communities-The Island","M5J 2Y6","Apartment","4.0","1.0","1.0","126.0","96.0","104.0"
"8016701","f","Waterfront Communities-The Island","M5J 3A4","Condominium","4.0","1.0","1.0","147.0","95.0","78.0"
"8071593","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","121.0","96.0","188.0"
"8577645","f","Waterfront Communities-The Island","M5J 0B1","Apartment","4.0","1.0","2.0","179.0","93.0","64.0"
"8583887","f","Waterfront Communities-The Island","M5J 0B1","Apartment","2.0","1.0","1.0","159.0","97.0","72.0"
"9078948","f","Waterfront Communities-The Island","M5J","Condominium","3.0","1.0","1.0","111.0","95.0","82.0"
"9281219","t","Waterfront Communities-The Island","M5J 0B1","Apartment","3.0","1.0","1.0","125.0","92.0","255.0"
"9309637","t","Waterfront Communities-The Island","M5J 0A7","Condominium","4.0","2.0","2.0","244.0","98.0","205.0"
"9325311","t","Waterfront Communities-The Island","M5J 0A6","Condominium","4.0","1.0","1.0","110.0","97.0","146.0"
"9383507","t","Waterfront Communities-The Island","M5J 0A6","Condominium","4.0","2.0","3.0","150.0","100.0","179.0"
"9955707","t","Waterfront Communities-The Island","M5J 0A6","Condominium","4.0","2.0","2.0","130.0","96.0","117.0"
"10002202","f","Waterfront Communities-The Island","M5J","Apartment","2.0","1.0","1.0","199.0","null","255.0"
"10042369","t","Waterfront Communities-The Island","M5J 0B1","Condominium","8.0","2.0","3.0","390.0","94.0","86.0"
"10214764","f","Waterfront Communities-The Island","M5J 0A6","Condominium","8.0","2.0","2.0","167.0","96.0","221.0"
"10710581","t","Waterfront Communities-The Island","M5J 0B1","Condominium","2.0","1.0","1.0","99.0","91.0","228.0"
"10943138","f","Waterfront Communities-The Island","M5J 0A6","Condominium","6.0","2.0","2.0","178.0","96.0","172.0"
"11068703","f","Waterfront Communities-The Island","M5J 0A6","Condominium","5.0","1.0","1.0","159.0","88.0","74.0"
"11253014","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","1.0","170.0","100.0","142.0"
"11324662","t","Waterfront Communities-The Island","M5J 0A9","Condominium","6.0","1.5","2.0","1000.0","98.0","99.0"
"11386356","f","Waterfront Communities-The Island","M5J 0B1","Apartment","1.0","1.0","0.0","500.0","null","83.0"
"11594529","f","Waterfront Communities-The Island","M5J 3A3","Condominium","4.0","1.0","1.0","141.0","93.0","161.0"
"11602435","f","Waterfront Communities-The Island","M5J","Condominium","4.0","1.0","1.0","199.0","94.0","184.0"
"11625050","f","Waterfront Communities-The Island","M5J","Apartment","5.0","2.0","2.0","300.0","96.0","47.0"
"12064625","t","Waterfront Communities-The Island","M5J 0B1","Apartment","3.0","1.0","1.0","159.0","97.0","27.0"
"12173623","f","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","219.0","87.0","209.0"
"12343435","t","Waterfront Communities-The Island","M5J","Apartment","4.0","1.5","2.0","251.0","98.0","149.0"
"12668782","t","Waterfront Communities-The Island","M5J","Condominium","2.0","1.0","1.0","54.0","99.0","27.0"
"12841036","f","Waterfront Communities-The Island","M5J 0B1","Condominium","2.0","1.0","1.0","121.0","88.0","133.0"
"12863720","f","Waterfront Communities-The Island","M5J 0A7","Apartment","2.0","1.0","0.0","159.0","87.0","150.0"
"13111411","f","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","186.0","95.0","107.0"
"13413180","t","Waterfront Communities-The Island","M5J 3A3","Condominium","6.0","2.0","3.0","498.0","97.0","62.0"
"13435295","f","Waterfront Communities-The Island","M5J","Apartment","4.0","1.0","1.0","200.0","91.0","169.0"
"13506358","t","Waterfront Communities-The Island","M5J 0B1","Apartment","6.0","2.0","2.0","159.0","98.0","60.0"
"13532029","t","Waterfront Communities-The Island","M5J 0B1","Condominium","2.0","1.0","0.0","99.0","97.0","25.0"
"13558941","t","Waterfront Communities-The Island","M5J3A4","Condominium","4.0","2.0","2.0","400.0","99.0","89.0"
"13585289","t","Waterfront Communities-The Island","M5J 0B1","Apartment","5.0","2.0","2.0","239.0","99.0","30.0"
"13588430","f","Waterfront Communities-The Island","M5J 0B1","Apartment","4.0","2.0","2.0","139.0","87.0","70.0"
"13657964","f","Waterfront Communities-The Island","M5J 0B1","Serviced apartment","4.0","1.5","2.0","198.0","95.0","46.0"
"13700719","t","Waterfront Communities-The Island","M5J 0B1","Condominium","2.0","1.0","1.0","107.0","98.0","81.0"
"13814263","f","Waterfront Communities-The Island","M5J 3A3","Condominium","10.0","2.0","3.0","300.0","95.0","234.0"
"13879930","t","Waterfront Communities-The Island","M5J 0B1","Apartment","3.0","1.0","1.0","76.0","98.0","51.0"
"13885036","f","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","209.0","93.0","244.0"
"13909600","t","Waterfront Communities-The Island","M5J","Apartment","6.0","1.5","2.0","139.0","99.0","186.0"
"13937219","f","Waterfront Communities-The Island","M5J","Apartment","4.0","1.0","1.0","199.0","89.0","54.0"
"13980529","f","Waterfront Communities-The Island","M5J 0A6","Condominium","4.0","2.0","2.0","107.0","94.0","82.0"
"14089794","f","Waterfront Communities-The Island","M5J 0A6","Apartment","2.0","1.0","1.0","99.0","97.0","58.0"
"14093953","f","Waterfront Communities-The Island","M5J 3A1","Condominium","3.0","1.0","1.0","133.0","99.0","43.0"
"14099992","t","Waterfront Communities-The Island","M5J 0B1","Condominium","4.0","1.0","1.0","220.0","96.0","138.0"
"14193275","t","Waterfront Communities-The Island","M5J1B7","Condominium","2.0","1.0","1.0","285.0","96.0","89.0"
"14227945","f","Waterfront Communities-The Island","M5J 0B1","Condominium","6.0","2.0","3.0","376.0","97.0","216.0"
"14330267","t","Waterfront Communities-The Island","M5J 0B1","Apartment","5.0","2.0","2.0","186.0","99.0","97.0"
"14447467","t","Waterfront Communities-The Island","M5J 0A6","Condominium","3.0","1.0","2.0","164.0","100.0","194.0"
"14533481","f","Waterfront Communities-The Island","M5J","Condominium","4.0","1.0","1.0","129.0","94.0","226.0"
"14693392","t","Waterfront Communities-The Island","M5J","Condominium","6.0","1.0","1.0","121.0","97.0","96.0"
"14774496","f","Waterfront Communities-The Island","M5J","Apartment","4.0","1.0","1.0","168.0","92.0","141.0"
"14822179","t","Waterfront Communities-The Island","M5J 0A7","Condominium","2.0","1.0","1.0","117.0","100.0","159.0"
"14925943","t","Waterfront Communities-The Island","M5J","Condominium","2.0","1.0","0.0","76.0","97.0","40.0"
"14928597","f","Waterfront Communities-The Island","M5J 0B1","Condominium","4.0","1.0","1.0","95.0","94.0","62.0"
"15019871","f","Waterfront Communities-The Island","M5J 3A1","Apartment","8.0","2.0","3.0","349.0","98.0","26.0"
"15082256","f","Waterfront Communities-The Island","M5J 0A7","Condominium","8.0","2.0","2.0","125.0","90.0","187.0"
